Date,CD
23-Oct-13,CD202
23-Oct-13,CD209
24-Oct-13,CD202
24-Oct-13,CD209
24-Oct-13,CD209
24-Oct-13,CD202
24-Oct-13,CD202
25-Oct-13,CD209
25-Oct-13,CD209
28-Oct-13,CD211
28-Oct-13,CD209
28-Oct-13,CD209
28-Oct-13,CD209
29-Oct-13,CD209
29-Oct-13,CD210
29-Oct-13,CD201
29-Oct-13,CD209
29-Oct-13,CD209
29-Oct-13,CD209
30-Oct-13,CD209
30-Oct-13,CD209
30-Oct-13,CD202
31-Oct-13,CD209
1-Nov-13,CD209
1-Nov-13,CD202
4-Nov-13,CD209
4-Nov-13,CD202
4-Nov-13,CD209
4-Nov-13,CD209
4-Nov-13,CD209
5-Nov-13,CD209
5-Nov-13,CD209
5-Nov-13,CD209
5-Nov-13,CD209
6-Nov-13,CD201
6-Nov-13,CD209
6-Nov-13,CD112
6-Nov-13,CD209
6-Nov-13,CD209
6-Nov-13,CD202
7-Nov-13,CD209
7-Nov-13,CD202
7-Nov-13,CD209
7-Nov-13,CD304
7-Nov-13,CD209
7-Nov-13,CD209
7-Nov-13,CD209
8-Nov-13,CD209
8-Nov-13,CD202
12-Nov-13,CD202
12-Nov-13,CD210
12-Nov-13,CD209
12-Nov-13,CD202
13-Nov-13,CD202
13-Nov-13,CD209
13-Nov-13,CD209
14-Nov-13,CD209
14-Nov-13,CD209
14-Nov-13,CD202
14-Nov-13,CD209
14-Nov-13,CD209
15-Nov-13,CD202
18-Nov-13,CD209
19-Nov-13,CD202
19-Nov-13,CD209
19-Nov-13,CD209
20-Nov-13,CD209
20-Nov-13,CD209
20-Nov-13,CD209
20-Nov-13,CD209
21-Nov-13,CD209
21-Nov-13,CD209
21-Nov-13,CD209
21-Nov-13,CD209
22-Nov-13,CD209
25-Nov-13,CD209
25-Nov-13,CD201
25-Nov-13,CD209
26-Nov-13,CD203
26-Nov-13,CD202
26-Nov-13,CD209
26-Nov-13,CD209
26-Nov-13,CD202
27-Nov-13,CD209
27-Nov-13,CD209
27-Nov-13,CD202
2-Dec-13,CD202
2-Dec-13,CD209
2-Dec-13,CD202
2-Dec-13,CD209
3-Dec-13,CD202
3-Dec-13,CD202
3-Dec-13,CD202
3-Dec-13,CD209
3-Dec-13,CD209
4-Dec-13,CD202
4-Dec-13,CD209
4-Dec-13,CD209
4-Dec-13,CD209
5-Dec-13,CD209
5-Dec-13,CD209
9-Dec-13,CD209
9-Dec-13,CD206
10-Dec-13,CD202
10-Dec-13,CD209
10-Dec-13,CD209
10-Dec-13,CD209
11-Dec-13,CD211
12-Dec-13,CD209
12-Dec-13,CD202
13-Dec-13,CD209
13-Dec-13,CD209
13-Dec-13,CD209
13-Dec-13,CD209
16-Dec-13,CD209
16-Dec-13,CD202
18-Dec-13,CD209
18-Dec-13,CD209
18-Dec-13,CD209
19-Dec-13,CD209
19-Dec-13,CD209
20-Dec-13,CD209
20-Dec-13,CD202
20-Dec-13,CD209
20-Dec-13,CD202
23-Dec-13,CD202
26-Dec-13,CD209
26-Dec-13,CD209
26-Dec-13,CD209
27-Dec-13,CD202
30-Dec-13,CD209
30-Dec-13,CD209
30-Dec-13,CD209
30-Dec-13,CD209
31-Dec-13,CD209
2-Jan-14,CD208
2-Jan-14,CD211
6-Jan-14,CD209
6-Jan-14,CD202
7-Jan-14,CD206
7-Jan-14,CD209
8-Jan-14,CD209
10-Jan-14,CD209
10-Jan-14,CD202
13-Jan-14,CD202
14-Jan-14,CD209
14-Jan-14,CD209
15-Jan-14,CD209
15-Jan-14,CD202
16-Jan-14,CD209
21-Jan-14,CD202
21-Jan-14,CD209
21-Jan-14,CD201
23-Jan-14,CD209
24-Jan-14,CD209
24-Jan-14,CD209
24-Jan-14,CD204
27-Jan-14,CD202
27-Jan-14,CD209
28-Jan-14,CD209
28-Jan-14,CD207
29-Jan-14,CD209
29-Jan-14,CD209
29-Jan-14,CD202
30-Jan-14,CD209
30-Jan-14,CD209
30-Jan-14,CD209
31-Jan-14,CD202
31-Jan-14,CD209
31-Jan-14,CD209
3-Feb-14,CD209
3-Feb-14,CD209
3-Feb-14,CD209
3-Feb-14,CD209
4-Feb-14,CD412
4-Feb-14,CD202
4-Feb-14,CD209
5-Feb-14,CD202
6-Feb-14,CD209
7-Feb-14,CD209
7-Feb-14,CD209
10-Feb-14,CD211
10-Feb-14,CD202
10-Feb-14,CD209
11-Feb-14,CD209
11-Feb-14,CD203
11-Feb-14,CD308
12-Feb-14,CD209
12-Feb-14,CD209
12-Feb-14,CDNA
14-Feb-14,CD205
14-Feb-14,CD209
14-Feb-14,CD202
14-Feb-14,CD202
18-Feb-14,CD209
19-Feb-14,CD202
20-Feb-14,CD203
20-Feb-14,CD203
20-Feb-14,CD110
